augmentation_id,source_instruction_id,group_id,instruction,is_original,primary_mode,secondary_mode,confidence,review_status,split,episode_count,step_count,sample_weight,notes
1,1,maniskill_task_1,pick up the object and move it to a goal position.,TRUE,navigation,,source_label,source,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
2,1,maniskill_task_1,pick up the object and place it at the goal position.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
3,1,maniskill_task_1,grasp the object and move it to the target position.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
4,1,maniskill_task_1,lift the object and carry it to the goal location.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
5,1,maniskill_task_1,move the object to its designated goal position.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
6,1,maniskill_task_1,take the object and put it at the target location.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
7,1,maniskill_task_1,grab the object and relocate it to the goal.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
8,1,maniskill_task_1,place the object in the specified goal position.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
9,1,maniskill_task_1,pick the object up and set it down at the target.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
10,1,maniskill_task_1,transport the object to the indicated goal location.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
11,1,maniskill_task_1,grasp and transfer the object to its target position.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
12,1,maniskill_task_1,"lift the object, then place it at the goal.",FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
13,1,maniskill_task_1,move the selected object into the goal position.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
14,1,maniskill_task_1,pick up the item and bring it to the target spot.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
15,1,maniskill_task_1,relocate the object from its current position to the goal.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
16,1,maniskill_task_1,carry the object over to the designated target position.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
17,1,maniskill_task_1,take hold of the object and place it at the goal location.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
18,1,maniskill_task_1,pick and place the object at the indicated target.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
19,1,maniskill_task_1,move the item until it is positioned at the goal.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
20,1,maniskill_task_1,grasp the item and set it at the specified destination.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
21,1,maniskill_task_1,lift and reposition the object at the target location.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
22,1,maniskill_task_1,transfer the object to the marked goal position.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
23,1,maniskill_task_1,pick the object up and move it into the target area.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
24,1,maniskill_task_1,bring the object to its assigned goal position.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
25,1,maniskill_task_1,move the object from where it is to the target spot.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
26,1,maniskill_task_1,grasp the object and place it in the goal location.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
27,1,maniskill_task_1,pick up the item and relocate it to its target.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
28,1,maniskill_task_1,carry the object to the specified destination.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
29,1,maniskill_task_1,lift the object and position it at the indicated goal.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
30,1,maniskill_task_1,take the object to the goal and place it there.,FALSE,navigation,,inherited,assistant_reviewed,train,"2,467","345,243",0.357,Move an unspecified object to a goal position; label inherited from source task.
31,2,maniskill_task_2,pick up a designated object from a clutter of objects.,TRUE,object_state,,source_label,source,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
32,2,maniskill_task_2,pick up the specified object from among the clutter.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
33,2,maniskill_task_2,grasp the designated item in the group of objects.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
34,2,maniskill_task_2,select the indicated object from the clutter and pick it up.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
35,2,maniskill_task_2,find the designated object among the other items and lift it.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
36,2,maniskill_task_2,identify and grasp the specified object in the clutter.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
37,2,maniskill_task_2,pick the requested object out of the collection.,FALSE,object_state,,inherited,assistant_reviewed,train,806,"128,662",2.500,Identify and pick the designated object from clutter; label inherited from source task.
